OBJECTID,Id,Company,Status,StatusStart,LatestEventStart,LatestEventEnd,Latitude,Longitude,ReceivingWaterCourse,LastUpdated,x,y
1082,WSX10011,Wessex Water,0,,,,51.2281484101392,-2.96199515475627,Forge Rhyne,3/9/2026 5:33:26 PM,-329727.792359612,6661750.19176055
1083,WSX10055,Wessex Water,0,,,,51.2193606502007,-2.96773991724007,FORGE RHYNE,3/9/2026 5:33:26 PM,-330367.296394036,6660188.19400682
1084,WXW00951,Wessex Water,0,,,,51.3330695341162,-1.77802739808134,RIVER AVON,3/9/2026 5:33:26 PM,-197929.104570904,6680422.68866907
1085,WXW00676,Wessex Water,0,,,,51.0257228739683,-3.07761563291664,RIVER TONE,3/9/2026 5:33:26 PM,-342598.605113699,6625845.06323512
1086,WXW00275,Wessex Water,0,,,,51.1599514428102,-2.892155429612,NIDON BROOK (S),3/9/2026 5:33:26 PM,-321953.269719409,6649636.2004433
1087,WSX10012,Wessex Water,0,1/27/2026 12:02:00 PM,1/27/2026 5:38:00 AM,1/27/2026 12:02:00 PM,51.0132094521873,-3.07591583164025,BLACK BROOK IN RIVER TONE,3/9/2026 5:33:26 PM,-342409.384101161,6623630.65459366
1088,WXW01075,Wessex Water,0,,,,50.7522820297002,-1.77299931276239,THE CLOCKHOUSE STREAM,3/9/2026 5:33:26 PM,-197369.380673534,6577591.70648705
1089,WXW00762,Wessex Water,0,,,,50.7286149428601,-1.74337429364913,RIVER MUDE(S),3/9/2026 5:33:26 PM,-194071.538631104,6573428.51929744
1090,WXW00239,Wessex Water,0,,,,50.8159000134735,-1.89678266144306,TRIBUTARY OF UDDENS WATER,3/9/2026 5:33:26 PM,-211148.880017352,6588792.94832796
1091,WXW00060,Wessex Water,0,,,,50.8684178227341,-1.85720751450785,TRIB. EBBLAKE STREAM VIA SWS,3/9/2026 5:33:26 PM,-206743.394812455,6598051.28079846
1092,WXW01113,Wessex Water,0,,,,50.8095932890892,-1.86748715014433,TRIB OF MOORS RIVER (S),3/9/2026 5:33:26 PM,-207887.718617049,6587681.84015479
1093,WXW00854,Wessex Water,0,2/19/2026 12:50:00 AM,2/19/2026 12:48:00 AM,2/19/2026 12:50:00 AM,50.820822257287,-1.89100687719443,TRIB OF UDDENS WATER,3/9/2026 5:33:26 PM,-210505.922655862,6589660.24528133
1094,WXW01153,Wessex Water,0,2/19/2026 1:44:00 PM,2/18/2026 6:37:00 PM,2/19/2026 1:44:00 PM,50.8125746645627,-1.87183619263495,UDDENS WATER,3/9/2026 5:33:26 PM,-208371.851812543,6588207.07521093
1095,WXW00870,Wessex Water,0,,,,50.7940376031544,-1.98048211917819,RIVER ALLEN (S),3/9/2026 5:33:26 PM,-220466.2610321,6584941.90653175
1096,WXW00384,Wessex Water,0,,,,50.8050247703311,-1.87539045848394,TRIB OF MOORS RIVER,3/9/2026 5:33:26 PM,-208767.510876996,6586877.05983435
1097,WXW00068,Wessex Water,0,,,,50.7938537473356,-1.88186144520402,(S) TRIB OF MOORS RIVER,3/9/2026 5:33:26 PM,-209487.857823606,6584909.52815182
1098,WSX10016,Wessex Water,0,,,,51.3662030164972,-1.9025619282182,RIVER AVON,3/9/2026 5:33:26 PM,-211792.225051919,6686328.23059216
1099,WXW00125,Wessex Water,0,,,,51.3462850492641,-2.08724675965017,SUMMERHAM BROOK(S),3/9/2026 5:33:26 PM,-232351.246444167,6682777.64237758
1100,WSX10082,Wessex Water,0,,,,51.3573187006318,-2.07290642208996,CLACKERS BROOK,3/9/2026 5:33:26 PM,-230754.887369161,6684744.31664399
1101,WXW00883,Wessex Water,0,,,,51.3189031244417,-2.00068040754106,WORTON STREAM (S),3/9/2026 5:33:26 PM,-222714.72420755,6677899.04293164
1102,WXW01098,Wessex Water,0,,,,51.5475983792863,-2.62867472514456,SWANMOOR RHINE (S),3/9/2026 5:33:26 PM,-292622.73186424,6718735.18308106
1103,WXW00827,Wessex Water,0,2/22/2026 11:18:00 PM,2/22/2026 11:11:00 PM,2/22/2026 11:18:00 PM,51.5831703195593,-2.58094454488781,OLVESTON COMMON RHYNE(S),3/9/2026 5:33:26 PM,-287309.432502588,6725105.38236027
1104,WXW00808,Wessex Water,0,2/13/2026 9:08:00 PM,2/13/2026 3:42:00 PM,2/13/2026 9:08:00 PM,51.5529721881897,-2.43423980293782,TRIBUTARY OF RIVER FROME(S),3/9/2026 5:33:26 PM,-270978.335331757,6719697.20169167
1105,WXW00724,Wessex Water,0,5/14/2025 12:26:00 PM,5/14/2025 12:20:00 PM,5/14/2025 12:26:00 PM,50.7719999305622,-2.2826006492502,TRIBUTARY OF BERE STREAM,3/9/2026 5:33:26 PM,-254097.941958928,6581061.81508338
1106,WXW00515,Wessex Water,0,,,,50.9071885562415,-2.25243572364288,COOKWELL BROOK,3/9/2026 5:33:26 PM,-250739.997800504,6604892.84418254
1107,WXW00156,Wessex Water,0,,,,50.853072411215,-2.16594704893697,THE RIVER STOUR,3/9/2026 5:33:26 PM,-241112.122572857,6595344.96976185
